HOURS_DATASCIENCE,HOURS_BACKEND,HOURS_FRONTEND,NUM_COURSES_BEGINNER_DATASCIENCE,NUM_COURSES_BEGINNER_BACKEND,NUM_COURSES_BEGINNER_FRONTEND,NUM_COURSES_ADVANCED_DATASCIENCE,NUM_COURSES_ADVANCED_BACKEND,NUM_COURSES_ADVANCED_FRONTEND,AVG_SCORE_DATASCIENCE,AVG_SCORE_BACKEND,AVG_SCORE_FRONTEND,target
84,30,0,4,6,3,3,7,6,51,74,37,advanced_backend
42,74,13,3,6,4,2,7,5,82,59,50,beginner_front_end
18,76,38,5,2,8,8,3,8,77,53,50,advanced_backend
77,29,23,7,2,6,1,6,1,68,57,60,advanced_data_science
35,14,39,0,5,3,2,8,3,63,82,91,beginner_data_science
29,32,58,4,3,2,1,2,5,60,63,77,beginner_data_science
50,19,42,1,3,5,3,5,3,63,59,65,beginner_data_science
36,37,71,4,0,6,5,3,1,38,71,55,beginner_data_science
40,17,66,2,2,7,2,6,4,64,50,48,advanced_front_end
56,14,35,4,3,2,0,4,1,81,63,81,advanced_data_science
53,66,2,7,4,4,5,5,2,60,46,71,advanced_data_science
11,50,22,3,7,6,0,5,3,86,64,51,beginner_backend
57,69,24,3,4,4,1,3,1,69,51,42,beginner_front_end
23,75,43,3,6,3,4,3,2,42,79,67,advanced_front_end
22,23,44,5,5,6,3,0,3,54,66,75,beginner_data_science
60,53,18,3,5,5,1,6,3,74,51,50,beginner_front_end
17,48,45,2,6,3,3,5,3,57,76,51,advanced_front_end
15,14,53,1,3,2,0,6,5,30,77,57,advanced_front_end
83,10,26,1,4,4,1,4,2,54,58,59,beginner_front_end
73,35,36,5,7,4,7,3,4,67,78,65,beginner_front_end
54,48,67,6,3,7,3,2,1,63,64,74,beginner_data_science
30,26,85,1,1,4,7,5,1,46,74,48,beginner_data_science
37,68,33,3,1,9,4,4,9,71,83,35,advanced_backend
37,52,29,5,2,7,3,4,6,78,72,70,advanced_backend
55,67,54,2,2,3,5,6,5,46,63,74,advanced_backend
82,44,67,4,8,5,4,6,3,51,35,53,beginner_front_end
73,22,0,5,1,3,5,2,3,83,67,71,advanced_backend
