EFECTIVO,INVENTARIO,EQ_OFICINA,EQ_TRANSPORTE,TERRENOS_Y_CONSTRUCCIONES,CXP,CONTRIBUCIONES_X_PAGAR,ANTICIPOS_CTE,UTILIDADES_ACUMULADAS,UTILIDAD_O_PERDIDA,TOTAL_VENTAS,TOTAL_COMPRAS,UTILIDAD_BRUTA,TOTAL_GASTOS,target
1402839.424,17579093.5,1648525.1830000002,502786.0965,1050457.857,53144319.0,2076977.7240000002,5822111.377,11801150.03,-4952368.882,93509292.05,148561316.0,20264583.45,25444134.56,Sospechoso
185096.11399999997,36407677.13,421473.2498,2913787.137,-1751852.9170674267,23878609.08546595,70954.46724,2403460.29,9051637.894,-6260909.512,195888893.9,490122508.5,18922974.36,14809397.148454411,Aceptado
8055658.402000001,7723528.23,118719192.2,5021465.592,-11973360.6,81723630.93,948203.4374,20563126.26,9041948.351255577,-5931161.055,106858864.56770928,667605061.3,26617184.75,14809397.148454411,Sospechoso
98432.31783,3991008.27,584796.2191,40727.40004,5300207.656,16434719.41,443878.82987499,1232946.504,9367406.888,-4511668.558999999,106858864.56770928,159304449.44020227,9875364.808,6535523.691000001,Aceptado
1744163.1849734443,36624028.71,4719144.528940596,3222505.914,-1751852.9170674267,50356975.02,566844.6252,7996380.161,8604878.929,-192453.0126,339766638.6,93545090.01,15113218.086732317,29035672.5,Aceptado
1744163.1849734443,19395.0844,1117797.43,178000.76899999997,-1751852.9170674267,4211877.876,85261.83883,3906267.107,-3728542.131,-3703768.248,3040521.318,3599902.7860000003,15113218.086732317,235474.74800000002,Aceptado
292910.2297,5694064.747,243791.6277,513941.2896,1913973.601,12441655.17,124048.462,198416.5172,9041948.351255577,-1750636.757,72197368.43,31511650.58,9679323.344,21517347.18,Aceptado
420712.0685,13155414.38,589494.7445,1741775.342,6581424.642000001,23878609.08546595,39590.94693,3651735.984372101,-4280945.88,-458881.7975,95146235.34,76074980.98,24916264.64,27901464.63,Aceptado
117405.0183,1094960.888,967399.1185,74643.20732999999,5556008.267000001,4845444.313,443878.82987499,4387241.966,-4977216.805,-3245412.107912634,1506788.0469999998,16286886.57,15113218.086732317,841977.2235,Aceptado
191440.8243,13404166.81,474422.3522,448206.0216,7277252.706,31840650.46,144042.3381,30410.078869999998,-2691678.244,-3245412.107912634,74495792.98,75382713.44,40588922.94,38170033.92,Aceptado
